Training sample:
|              y[] |      etalonoe zn |    Polychenoe zn |       Otklonenie |
| ---------------- | ---------------- | ---------------- | ---------------- |
|                0 |         0.500000 |         0.499127 |         0.000873 |
|                1 |         0.500008 |         0.499130 |         0.000878 |
|                2 |         0.500010 |         0.499133 |         0.000877 |
|                3 |         0.500004 |         0.499133 |         0.000871 |
|                4 |         0.499996 |         0.499131 |         0.000864 |
|                5 |         0.499990 |         0.499129 |         0.000861 |
|                6 |         0.499992 |         0.499123 |         0.000869 |
|                7 |         0.500000 |         0.499116 |         0.000884 |
|                8 |         0.500008 |         0.499115 |         0.000893 |
|                9 |         0.500010 |         0.499119 |         0.000890 |
|               10 |         0.500004 |         0.499127 |         0.000877 |
|               11 |         0.499995 |         0.499131 |         0.000864 |
|               12 |         0.499990 |         0.499129 |         0.000861 |
|               13 |         0.499992 |         0.499123 |         0.000870 |
|               14 |         0.500000 |         0.499116 |         0.000884 |
|               15 |         0.500008 |         0.499115 |         0.000893 |
|               16 |         0.500010 |         0.499120 |         0.000890 |
|               17 |         0.500004 |         0.499127 |         0.000877 |
|               18 |         0.499995 |         0.499131 |         0.000864 |
|               19 |         0.499990 |         0.499129 |         0.000861 |
|               20 |         0.499992 |         0.499123 |         0.000870 |
|               21 |         0.500001 |         0.499116 |         0.000884 |
|               22 |         0.500008 |         0.499115 |         0.000893 |
|               23 |         0.500010 |         0.499120 |         0.000890 |
|               24 |         0.500004 |         0.499127 |         0.000877 |
|               25 |         0.499995 |         0.499131 |         0.000864 |
|               26 |         0.499990 |         0.499129 |         0.000861 |
|               27 |         0.499993 |         0.499122 |         0.000870 |
|               28 |         0.500001 |         0.499116 |         0.000885 |
|               29 |         0.500008 |         0.499115 |         0.000893 |
Forecasting the future:
|              y[] |      etalonoe zn |    Polychenoe zn |       Otklonenie |
| ---------------- | ---------------- | ---------------- | ---------------- |
|               30 |         0.500000 |         0.749566 |        -0.249566 |
|               31 |         0.500008 |         0.749569 |        -0.249561 |
|               32 |         0.500010 |         0.749571 |        -0.249561 |
|               33 |         0.500004 |         0.749572 |        -0.249567 |
|               34 |         0.499996 |         0.749570 |        -0.249574 |
|               35 |         0.499990 |         0.749568 |        -0.249578 |
|               36 |         0.499992 |         0.749561 |        -0.249569 |
|               37 |         0.500000 |         0.749555 |        -0.249555 |
|               38 |         0.500008 |         0.749553 |        -0.249545 |
|               39 |         0.500010 |         0.749558 |        -0.249548 |
|               40 |         0.500004 |         0.749565 |        -0.249561 |
|               41 |         0.499995 |         0.749570 |        -0.249574 |
|               42 |         0.499990 |         0.749568 |        -0.249578 |
|               43 |         0.499992 |         0.749561 |        -0.249569 |
|               44 |         0.500000 |         0.749555 |        -0.249554 |
